Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s)
20.2 0 2 0.156 6.071 211.64 0.00 0.00 0.00 0.00 0.00 0.00
20.2 3 1 0.156 6.061 211.64 0.00 0.00 0.00 0.00 0.00 0.00
20.2 6 1 0.156 6.058 211.43 0.00 0.00 0.00 0.00 0.00 0.00
20.2 9 1 0.156 6.056 211.66 0.00 0.00 0.00 0.00 0.00 0.00
20.2 12 1 0.156 6.054 211.56 0.00 0.00 0.00 0.00 0.00 0.00
20.2 15 1 0.155 6.051 211.48 0.00 0.00 0.00 0.00 0.00 0.00
20.2 18 1 0.155 6.048 211.28 0.00 0.00 0.00 0.00 0.00 0.00
20.2 21 1 0.156 6.048 211.53 0.00 0.00 0.00 0.00 0.00 0.00
20.2 24 1 0.156 6.048 211.72 0.00 0.00 0.00 0.00 0.00 0.00
20.2 27 1 0.156 6.05 211.61 0.00 0.00 0.00 0.00 0.00 0.00
20.2 30 1 0.156 6.048 211.56 0.00 0.00 0.00 0.00 0.00 0.00
20.2 33 1 0.156 6.048 211.70 0.00 0.00 0.00 0.00 0.00 0.00
20.2 36 1 0.156 6.048 211.71 0.00 0.00 0.00 0.00 0.00 0.00
20.2 39 1 0.157 6.049 211.67 0.00 0.00 0.00 0.00 0.00 0.00
20.2 42 1 0.156 6.047 211.64 0.00 0.00 0.00 0.00 0.00 0.00
20.2 45 1 0.156 6.046 211.72 0.00 0.00 0.00 0.00 0.00 0.00
20.2 48 1 0.156 6.045 211.64 0.00 0.00 0.00 0.00 0.00 0.00
20.2 51 1 0.156 6.042 211.61 0.00 0.00 0.00 0.00 0.00 0.00
20.2 54 1 0.156 6.041 211.74 0.00 0.00 0.00 0.00 0.00 0.00
20.2 57 1 0.156 6.042 211.64 0.00 0.00 0.00 0.00 0.00 0.00
20.2 60 1 0.156 6.04 211.50 0.04 0.12 -0.10 0.00 -0.00 0.04
20.2 63 1 0.155 6.037 211.43 8.74 36.69 -23.61 5.22 -2.81 6.42
20.2 66 1 0.155 6.034 211.60 5.98 47.94 -12.76 4.44 -0.88 3.91
20.2 69 1 0.156 6.034 211.61 5.86 30.70 -9.49 2.99 -0.83 4.97
20.2 72 1 0.156 6.034 211.82 6.17 25.51 -7.91 2.66 -0.77 5.52
20.2 75 1 0.156 6.034 211.82 6.19 25.13 -7.61 2.63 -0.74 5.55
20.2 78 1 0.156 6.037 211.78 6.87 21.29 -10.86 2.49 -1.21 6.29
20.2 81 1 0.156 6.041 212.00 7.37 16.20 -12.22 2.06 -1.50 6.92
20.2 84 1 0.157 6.049 212.19 7.31 15.78 -11.84 1.99 -1.44 6.88
20.2 87 1 0.157 6.055 212.04 7.52 15.70 -10.62 2.03 -1.33 7.12
20.2 90 1 0.157 6.058 211.90 7.67 2.97 -7.01 0.40 -0.93 7.60
20.2 93 1 0.157 6.062 211.99 6.58 11.85 -7.11 1.35 -0.80 6.39
20.2 96 1 0.157 6.064 211.87 6.61 12.46 -5.79 1.43 -0.65 6.42
20.2 99 1 0.157 6.062 211.77 6.69 5.75 -5.77 0.67 -0.67 6.62
20.2 102 1 0.156 6.06 211.71 7.11 16.90 -5.59 2.07 -0.66 6.77
20.2 105 1 0.156 6.054 211.69 7.13 17.04 -7.76 2.09 -0.92 6.75
20.2 108 1 0.156 6.049 211.66 7.40 21.78 -5.09 2.75 -0.61 6.84
20.2 111 1 0.156 6.046 211.87 6.94 21.59 -7.71 2.55 -0.87 6.39
20.2 114 1 0.156 6.043 211.93 6.81 13.90 -7.63 1.64 -0.88 6.55
20.2 117 1 0.156 6.044 211.95 6.78 11.82 -8.90 1.39 -1.03 6.56
20.2 120 1 0.156 6.045 212.03 6.89 11.91 -7.66 1.42 -0.90 6.68
20.2 123 1 0.156 6.045 211.75 6.91 13.68 -7.76 1.63 -0.91 6.65
20.2 126 1 0.156 6.046 211.61 6.96 12.57 -6.88 1.51 -0.81 6.74
20.2 129 1 0.156 6.048 211.53 6.99 12.53 -6.23 1.52 -0.74 6.78
20.2 132 1 0.156 6.05 211.77 7.01 13.10 -7.54 1.59 -0.90 6.77
20.2 135 1 0.156 6.052 211.76 7.08 13.28 -9.01 1.63 -1.08 6.81
20.2 138 1 0.156 6.052 211.82 7.12 13.29 -10.00 1.64 -1.20 6.82
20.2 141 1 0.156 6.051 211.70 7.16 12.71 -7.75 1.58 -0.94 6.92
20.2 144 1 0.156 6.049 211.85 7.19 12.94 -5.72 1.61 -0.70 6.97
20.2 147 1 0.157 6.051 212.16 7.09 12.11 -5.90 1.49 -0.71 6.90
20.2 150 1 0.157 6.054 212.01 7.19 10.29 -6.79 1.28 -0.84 7.02
20.2 153 1 0.157 6.057 211.74 7.36 12.12 -5.27 1.55 -0.66 7.17
20.2 156 1 0.157 6.058 211.84 7.22 10.64 -2.71 1.33 -0.34 7.09
20.2 159 1 0.157 6.062 212.16 7.24 8.58 -3.97 1.08 -0.50 7.14
20.2 162 1 0.157 6.066 212.01 7.31 8.50 -6.47 1.08 -0.81 7.18
20.2 165 1 0.157 6.066 212.00 7.33 12.79 -7.44 1.62 -0.93 7.09
20.2 168 1 0.156 6.063 211.95 7.45 14.51 -7.84 1.87 -0.98 7.14
20.2 171 1 0.157 6.061 211.95 7.53 12.88 -6.42 1.68 -0.82 7.29
20.2 174 1 0.157 6.062 211.90 7.52 13.77 -6.04 1.79 -0.77 7.26
20.2 177 1 0.157 6.061 211.82 7.48 13.88 -5.29 1.79 -0.67 7.23
20.2 180 1 0.156 6.061 211.84 7.50 13.02 -6.35 1.69 -0.81 7.26
20.2 183 1 0.156 6.057 211.82 7.53 13.00 -5.61 1.69 -0.72 7.30
20.2 186 1 0.156 6.054 211.84 7.51 10.44 -2.27 1.36 -0.29 7.38
20.2 189 1 0.157 6.055 211.85 6.64 13.02 -1.03 1.50 -0.12 6.47
20.2 192 1 0.157 6.055 211.90 6.12 12.83 -0.70 1.36 -0.07 5.97
20.2 195 1 0.157 6.057 212.00 5.74 11.67 2.33 1.16 0.23 5.62
20.2 198 1 0.157 6.058 211.93 5.15 9.35 1.49 0.84 0.13 5.08
20.2 201 1 0.157 6.061 212.08 5.29 11.28 -3.42 1.03 -0.31 5.18
20.2 204 1 0.157 6.064 212.06 2.59 6.36 0.83 0.29 0.04 2.57
20.2 207 1 0.157 6.066 211.90 0.00 0.00 0.00 0.00 0.00 0.00
20.2 210 1 0.157 6.066 211.93 0.00 0.00 0.00 0.00 0.00 0.00
20.2 213 1 0.157 6.066 212.06 0.00 0.00 0.00 0.00 0.00 0.00
20.2 216 1 0.157 6.065 212.02 0.00 0.00 0.00 0.00 0.00 0.00
20.2 219 1 0.157 6.066 212.14 0.00 0.00 0.00 0.00 0.00 0.00
20.2 222 1 0.157 6.063 212.04 0.00 0.00 0.00 0.00 0.00 0.00
20.2 225 1 0.156 6.06 211.69 0.00 0.00 0.00 0.00 0.00 0.00
20.2 228 1 0.156 6.057 211.69 0.00 0.00 0.00 0.00 0.00 0.00
20.2 231 1 0.157 6.054 211.83 0.00 0.00 0.00 0.00 0.00 0.00
20.2 234 1 0.156 6.052 211.87 0.00 0.00 0.00 0.00 0.00 0.00
20.2 237 1 0.157 6.051 211.90 0.00 0.00 0.00 0.00 0.00 0.00
20.2 240 1 0.156 6.049 211.79 0.00 0.00 0.00 0.00 0.00 0.00
20.2 243 1 0.156 6.047 211.59 0.00 0.00 0.00 0.00 0.00 0.00
20.2 246 1 0.156 6.045 211.58 0.00 0.00 0.00 0.00 0.00 0.00
20.2 249 1 0.156 6.043 211.79 0.00 0.00 0.00 0.00 0.00 0.00
20.2 252 1 0.156 6.041 211.74 0.00 0.00 0.00 0.00 0.00 0.00
20.2 255 1 0.156 6.039 211.79 0.00 0.00 0.00 0.00 0.00 0.00
20.2 258 1 0.156 6.039 212.02 0.00 0.00 0.00 0.00 0.00 0.00
20.2 0 2 0.156 6.039 211.74 0.00 0.00 0.00 0.00 0.00 0.00
20.2 3 1 0.156 6.068 211.74 0.00 0.00 0.00 0.00 0.00 0.00
20.2 6 1 0.157 6.068 212.21 0.00 0.00 0.00 0.00 0.00 0.00
20.2 9 1 0.156 6.068 211.93 0.00 0.00 0.00 0.00 0.00 0.00
20.2 12 1 0.156 6.066 211.74 0.00 0.00 0.00 0.00 0.00 0.00
20.2 15 1 0.156 6.063 211.95 0.00 0.00 0.00 0.00 0.00 0.00
20.2 18 1 0.156 6.062 211.97 0.00 0.00 0.00 0.00 0.00 0.00
20.2 21 1 0.157 6.065 212.09 0.00 0.00 0.00 0.00 0.00 0.00
20.2 24 1 0.157 6.067 212.16 0.00 0.00 0.00 0.00 0.00 0.00
20.2 27 1 0.157 6.069 212.29 0.00 0.00 0.00 0.00 0.00 0.00
20.2 30 1 0.157 6.07 212.16 0.00 0.00 0.00 0.00 0.00 0.00
20.2 33 1 0.157 6.071 212.21 0.00 0.00 0.00 0.00 0.00 0.00
20.2 36 1 0.157 6.075 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 39 1 0.157 6.078 212.13 0.00 0.00 0.00 0.00 0.00 0.00
20.2 42 1 0.157 6.079 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 45 1 0.157 6.079 212.25 0.00 0.00 0.00 0.00 0.00 0.00
20.2 48 1 0.157 6.078 211.99 0.00 0.00 0.00 0.00 0.00 0.00
20.2 51 1 0.157 6.074 211.93 0.00 0.00 0.00 0.00 0.00 0.00
20.2 54 1 0.156 6.073 211.77 0.00 0.00 0.00 0.00 0.00 0.00
20.2 57 1 0.156 6.073 211.95 0.00 0.00 0.00 0.00 0.00 0.00
