#_of_samples Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s) Chord_angle(deg) Chord_angle_eff(deg) Chord_length(mm) Chord_length_eff(mm) Helix_angle_eff(deg) Alpha_angle(deg) V_total(m/s) V_lift(m/s) V_drag(m/s) CL CD Reynolds_number V_a+r(m/s) D/R_ratio 
2 20.2 0 2 0.16 6.05 211.69 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 0.00 0.00 0.00 0.00 0.00 0.00 0.000 0.000 0 0.00 0.4
2 20.2 3 1 0.16 6.06 211.69 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 0.64 0.00 0.00 0.000 0.000 961 0.00 0.4
2 20.2 6 1 0.16 6.06 211.82 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 1.27 0.00 0.00 0.000 0.000 1924 0.00 0.4
2 20.2 9 1 0.16 6.06 211.80 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 1.91 0.00 0.00 0.000 0.000 2885 0.00 0.4
2 20.2 12 1 0.16 6.06 211.65 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 2.54 0.00 0.00 0.000 0.000 3844 0.00 0.4
2 20.2 15 1 0.16 6.06 211.71 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 3.18 0.00 0.00 0.000 0.000 4806 0.00 0.4
2 20.2 18 1 0.16 6.05 211.62 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 22.4 22.40 0.00 0.00 3.81 0.00 0.00 0.000 0.000 5765 0.00 0.4
2 20.2 21 1 0.16 6.06 211.81 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 23.7 23.70 0.00 0.00 4.45 0.00 0.00 0.000 0.000 7123 0.00 0.4
2 20.2 24 1 0.16 6.06 211.94 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 24.01 24.01 0.00 0.00 5.09 0.00 0.00 0.000 0.000 8252 0.00 0.4
2 20.2 27 1 0.16 6.06 211.95 0.00 0.00 0.00 0.00 0.00 0.00 2.2 2.20 24.5 24.50 0.00 2.20 5.72 0.00 0.00 0.000 0.000 9473 0.00 0.4
2 20.2 30 1 0.16 6.06 211.86 0.00 0.00 0.00 0.00 0.00 0.00 4.5 4.50 25.16 25.16 0.00 4.50 6.36 0.00 0.00 0.000 0.000 10805 0.00 0.4
2 20.2 33 1 0.16 6.06 211.95 0.00 0.00 0.00 0.00 0.00 0.00 7.3 7.30 26.09 26.09 0.00 7.30 6.99 0.00 0.00 0.000 0.000 12330 0.00 0.4
2 20.2 36 1 0.16 6.06 211.99 0.00 0.00 0.00 0.00 0.00 0.00 9 9.00 27.35 27.35 0.00 9.00 7.63 0.00 0.00 0.000 0.000 14103 0.00 0.4
2 20.2 39 1 0.16 6.06 211.90 0.00 0.00 0.00 0.00 0.00 0.00 11.4 11.40 29.02 29.02 0.00 11.40 8.26 0.00 0.00 0.000 0.000 16204 0.00 0.4
2 20.2 42 1 0.16 6.06 211.95 0.00 0.00 0.00 0.00 0.00 0.00 12.4 12.40 31.05 31.05 0.00 12.40 8.90 0.00 0.00 0.000 0.000 18676 0.00 0.4
2 20.2 45 1 0.16 6.06 211.99 0.00 0.00 0.00 0.00 0.00 0.00 14.3 14.30 33.11 33.11 0.00 14.30 9.54 0.00 0.00 0.000 0.000 21342 0.00 0.4
2 20.2 48 1 0.16 6.06 211.81 0.00 0.00 0.00 0.00 0.00 0.00 14.8 14.80 35.59 35.59 0.00 14.80 10.17 0.00 0.00 0.000 0.000 24449 0.00 0.4
2 20.2 51 1 0.16 6.06 211.77 0.00 0.00 0.00 0.00 0.00 0.00 15.5 15.50 38.26 38.26 0.00 15.50 10.80 0.00 0.00 0.000 0.000 27920 0.00 0.4
2 20.2 54 1 0.16 6.06 211.75 0.00 0.00 0.00 0.00 0.00 0.00 15.9 15.90 40.57 40.57 0.00 15.90 11.43 0.00 0.00 0.000 0.000 31344 0.00 0.4
2 20.2 57 1 0.16 6.06 211.79 0.00 0.00 0.00 0.00 0.00 0.00 16.2 16.20 42.52 42.52 0.00 16.20 12.07 0.00 0.00 0.000 0.000 34683 0.00 0.4
2 20.2 60 1 0.16 6.06 211.76 0.02 0.06 -1.56 0.00 0.00 0.02 16.2 16.20 44.73 44.73 0.09 16.11 12.71 0.02 -0.00 0.003 -0.000 38400 0.02 0.4
2 20.2 63 1 0.16 6.05 211.78 6.58 27.98 -16.85 3.34 -1.77 5.27 15.8 16.03 46.65 47.37 27.42 -11.39 11.44 6.22 0.54 1.086 0.094 36630 5.56 0.4
2 20.2 66 1 0.16 6.05 211.83 6.37 49.42 -10.84 4.84 -0.77 4.05 15.5 15.55 47.78 47.95 23.82 -8.27 10.03 5.66 2.79 1.129 0.557 32487 4.12 0.4
2 20.2 69 1 0.16 6.05 211.75 5.78 34.45 -8.88 3.26 -0.73 4.70 15.2 15.23 48.38 48.48 22.45 -7.22 12.31 5.59 1.22 0.908 0.198 40314 4.76 0.4
2 20.2 72 1 0.16 6.05 211.90 6.19 28.69 -8.07 2.96 -0.76 5.37 15 15.03 48.81 48.90 23.55 -8.52 13.44 6.11 0.57 0.909 0.084 44408 5.42 0.4
2 20.2 75 1 0.16 6.05 211.95 6.30 26.99 -8.06 2.87 -0.78 5.55 14.5 14.52 49.15 49.24 23.04 -8.52 14.18 6.23 0.47 0.879 0.066 47178 5.60 0.4
2 20.2 78 1 0.16 6.05 211.88 7.07 22.26 -10.25 2.68 -1.17 6.44 14.3 14.35 49.31 49.49 24.87 -10.52 15.32 6.97 -0.28 0.910 -0.036 51210 6.55 0.4
2 20.2 81 1 0.16 6.05 211.97 7.23 19.32 -10.11 2.38 -1.21 6.71 14.1 14.15 49.44 49.61 24.33 -10.19 16.29 7.09 -0.60 0.871 -0.073 54584 6.82 0.4
2 20.2 84 1 0.16 6.06 212.06 7.19 20.12 -9.44 2.46 -1.11 6.63 14 14.04 49.46 49.59 23.30 -9.27 16.76 7.06 -0.36 0.843 -0.043 56157 6.72 0.4
2 20.2 87 1 0.16 6.06 211.93 7.33 19.49 -8.94 2.43 -1.08 6.81 13.7 13.73 49.5 49.61 23.00 -9.27 17.43 7.22 -0.42 0.828 -0.049 58428 6.90 0.4
2 20.2 90 1 0.16 6.06 211.89 7.64 12.24 -7.23 1.59 -0.93 7.31 13.5 13.52 49.68 49.75 22.67 -9.15 18.97 7.36 -1.35 0.776 -0.142 63767 7.37 0.4
2 20.2 93 1 0.16 6.06 212.00 7.35 8.16 -8.03 0.99 -1.03 7.20 13.3 13.32 49.69 49.77 21.00 -7.68 20.09 7.08 -1.66 0.705 -0.165 67549 7.27 0.4
2 20.2 96 1 0.16 6.06 211.93 6.63 13.71 -6.08 1.57 -0.69 6.40 12.9 12.91 49.43 49.46 18.81 -5.90 19.85 6.56 -0.58 0.661 -0.058 66335 6.44 0.4
2 20.2 99 1 0.16 6.06 211.88 6.68 10.41 -6.22 1.21 -0.71 6.51 12.6 12.61 49.33 49.36 18.22 -5.61 20.82 6.56 -0.89 0.630 -0.085 69449 6.55 0.4
2 20.2 102 1 0.16 6.06 211.92 7.14 14.00 -8.99 1.72 -1.08 6.82 12.1 12.12 49.23 49.30 18.90 -6.78 21.06 7.01 -0.58 0.666 -0.055 70156 6.90 0.4
2 20.2 105 1 0.16 6.06 211.89 7.20 14.14 -10.59 1.75 -1.28 6.84 11.7 11.72 49.13 49.23 18.42 -6.70 21.65 7.04 -0.50 0.651 -0.046 72001 6.96 0.4
2 20.2 108 1 0.16 6.06 211.84 7.37 15.01 -8.28 1.90 -1.02 6.98 11.4 11.41 48.87 48.93 18.38 -6.97 22.13 7.22 -0.40 0.653 -0.036 73170 7.05 0.4
2 20.2 111 1 0.16 6.06 212.01 6.95 15.18 -6.19 1.80 -0.72 6.62 11.1 11.11 48.23 48.26 16.93 -5.83 22.73 6.86 -0.21 0.603 -0.018 74114 6.66 0.4
2 20.2 114 1 0.16 6.06 212.00 6.83 12.27 -6.78 1.46 -0.79 6.63 10.9 10.91 47.73 47.76 16.27 -5.36 23.67 6.77 -0.46 0.572 -0.038 76380 6.68 0.4
2 20.2 117 1 0.16 6.06 212.02 6.93 10.26 -7.89 1.23 -0.94 6.75 10.8 10.81 47.26 47.30 15.96 -5.16 24.54 6.83 -0.67 0.556 -0.055 78430 6.82 0.4
2 20.2 120 1 0.16 6.06 212.07 7.22 8.75 -8.94 1.08 -1.11 7.04 10.7 10.71 46.63 46.68 16.10 -5.39 25.39 7.06 -0.91 0.556 -0.072 80076 7.13 0.4
